variable,attribute,value,index
CESD_16,class,avector,1
CESD_16,class,numeric,2
CESD_17,1,never,1
CESD_17,2,rarely,1
CESD_17,3,occasionally,1
CESD_17,4,sometimes,1
CESD_17,5,often,1
CESD_17,6,very often,1
CESD_17,7,most of the time,1
CESD_17,comment,Center for Epidemiological Studies Depression Scale: I had crying spells.,1
CESD_17,class,avector,1
CESD_17,class,numeric,2
CESD_18,1,never,1
CESD_18,2,rarely,1
CESD_18,3,occasionally,1
CESD_18,4,sometimes,1
CESD_18,5,often,1
CESD_18,6,very often,1
CESD_18,7,most of the time,1
CESD_18,comment,Center for Epidemiological Studies Depression Scale: I felt sad.,1
CESD_18,class,avector,1
CESD_18,class,numeric,2
CESD_19,1,never,1
CESD_19,2,rarely,1
CESD_19,3,occasionally,1
CESD_19,4,sometimes,1
CESD_19,5,often,1
CESD_19,6,very often,1
CESD_19,7,most of the time,1
CESD_19,comment,Center for Epidemiological Studies Depression Scale: I felt that people dislike me.,1
CESD_19,class,avector,1
CESD_19,class,numeric,2
CESD_20,1,never,1
CESD_20,2,rarely,1
CESD_20,3,occasionally,1
CESD_20,4,sometimes,1
CESD_20,5,often,1
CESD_20,6,very often,1
CESD_20,7,most of the time,1
CESD_20,comment,"Center for Epidemiological Studies Depression Scale: I could not get ""going"".",1
CESD_20,class,avector,1
CESD_20,class,numeric,2
HEXACO_01,1,strongly disagree,1
HEXACO_01,2,disagree,1
HEXACO_01,3,slightly disagree,1
HEXACO_01,4,neither agree nor disagree,1
HEXACO_01,5,slightly agree,1
HEXACO_01,6,agree,1
HEXACO_01,7,strongly agree,1
HEXACO_01,comment,"HEXACO-60: I rarely hold a grudge, even against people who have badly wronged me.",1
HEXACO_01,class,avector,1
HEXACO_01,class,numeric,2
HEXACO_02,1,strongly disagree,1
HEXACO_02,2,disagree,1
HEXACO_02,3,slightly disagree,1
HEXACO_02,4,neither agree nor disagree,1
HEXACO_02,5,slightly agree,1
HEXACO_02,6,agree,1
HEXACO_02,7,strongly agree,1
HEXACO_02,comment,"HEXACO-60: I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",1
HEXACO_02,class,avector,1
HEXACO_02,class,numeric,2
HEXACO_03,1,strongly disagree,1
HEXACO_03,2,disagree,1
HEXACO_03,3,slightly disagree,1
HEXACO_03,4,neither agree nor disagree,1
HEXACO_03,5,slightly agree,1
HEXACO_03,6,agree,1
HEXACO_03,7,strongly agree,1
HEXACO_03,comment,HEXACO-60: People sometimes tell me that I am too critical of others.,1
HEXACO_03,class,avector,1
HEXACO_03,class,numeric,2
HEXACO_04,1,strongly disagree,1
HEXACO_04,2,disagree,1
HEXACO_04,3,slightly disagree,1
HEXACO_04,4,neither agree nor disagree,1
HEXACO_04,5,slightly agree,1
HEXACO_04,6,agree,1
HEXACO_04,7,strongly agree,1
HEXACO_04,comment,"HEXACO-60: If I knew that I could never get caught, I would be willing to steal a million dollars.",1
HEXACO_04,class,avector,1
HEXACO_04,class,numeric,2
HEXACO_05,1,strongly disagree,1
HEXACO_05,2,disagree,1
HEXACO_05,3,slightly disagree,1
HEXACO_05,4,neither agree nor disagree,1
HEXACO_05,5,slightly agree,1
HEXACO_05,6,agree,1
HEXACO_05,7,strongly agree,1
HEXACO_05,comment,HEXACO-60: People sometimes tell me that I'm too stubborn.,1
HEXACO_05,class,avector,1
HEXACO_05,class,numeric,2
HEXACO_06,1,strongly disagree,1
HEXACO_06,2,disagree,1
HEXACO_06,3,slightly disagree,1
HEXACO_06,4,neither agree nor disagree,1
HEXACO_06,5,slightly agree,1
HEXACO_06,6,agree,1
HEXACO_06,7,strongly agree,1
HEXACO_06,comment,HEXACO-60: Having a lot of money is not especially important to me.,1
HEXACO_06,class,avector,1
HEXACO_06,class,numeric,2
HEXACO_07,1,strongly disagree,1
HEXACO_07,2,disagree,1
HEXACO_07,3,slightly disagree,1
HEXACO_07,4,neither agree nor disagree,1
HEXACO_07,5,slightly agree,1
HEXACO_07,6,agree,1
HEXACO_07,7,strongly agree,1
HEXACO_07,comment,HEXACO-60: People think of me as someone who has a quick temper.,1
HEXACO_07,class,avector,1
HEXACO_07,class,numeric,2
HEXACO_08,1,strongly disagree,1
HEXACO_08,2,disagree,1
HEXACO_08,3,slightly disagree,1
HEXACO_08,4,neither agree nor disagree,1
HEXACO_08,5,slightly agree,1
HEXACO_08,6,agree,1
HEXACO_08,7,strongly agree,1
HEXACO_08,comment,HEXACO-60: I think that I am entitled to more respect than the average person is.,1
HEXACO_08,class,avector,1
HEXACO_08,class,numeric,2
HEXACO_09,1,strongly disagree,1
HEXACO_09,2,disagree,1
HEXACO_09,3,slightly disagree,1
HEXACO_09,4,neither agree nor disagree,1
HEXACO_09,5,slightly agree,1
HEXACO_09,6,agree,1
HEXACO_09,7,strongly agree,1
HEXACO_09,comment,HEXACO-60: My attitude toward people who have treated me badly is “forgive and forget”.,1
HEXACO_09,class,avector,1
HEXACO_09,class,numeric,2
HEXACO_10,1,strongly disagree,1
HEXACO_10,2,disagree,1
HEXACO_10,3,slightly disagree,1
HEXACO_10,4,neither agree nor disagree,1
HEXACO_10,5,slightly agree,1
HEXACO_10,6,agree,1
HEXACO_10,7,strongly agree,1
HEXACO_10,comment,"HEXACO-60: If I want something from someone, I will laugh at that person's worst jokes.",1
HEXACO_10,class,avector,1
HEXACO_10,class,numeric,2
HEXACO_11,1,strongly disagree,1
HEXACO_11,2,disagree,1
HEXACO_11,3,slightly disagree,1
HEXACO_11,4,neither agree nor disagree,1
HEXACO_11,5,slightly agree,1
HEXACO_11,6,agree,1
HEXACO_11,7,strongly agree,1
HEXACO_11,comment,HEXACO-60: I tend to be lenient in judging other people.,1
HEXACO_11,class,avector,1
HEXACO_11,class,numeric,2
HEXACO_12,1,strongly disagree,1
HEXACO_12,2,disagree,1
HEXACO_12,3,slightly disagree,1
HEXACO_12,4,neither agree nor disagree,1
HEXACO_12,5,slightly agree,1
HEXACO_12,6,agree,1
HEXACO_12,7,strongly agree,1
HEXACO_12,comment,"HEXACO-60: I would never accept a bribe, even if it were very large.",1
HEXACO_12,class,avector,1
HEXACO_12,class,numeric,2
HEXACO_13,1,strongly disagree,1
HEXACO_13,2,disagree,1
HEXACO_13,3,slightly disagree,1
HEXACO_13,4,neither agree nor disagree,1
HEXACO_13,5,slightly agree,1
HEXACO_13,6,agree,1
HEXACO_13,7,strongly agree,1
HEXACO_13,comment,HEXACO-60: I am usually quite flexible in my opinions when people disagree with me.,1
HEXACO_13,class,avector,1
HEXACO_13,class,numeric,2
HEXACO_14,1,strongly disagree,1
HEXACO_14,2,disagree,1
HEXACO_14,3,slightly disagree,1
HEXACO_14,4,neither agree nor disagree,1
HEXACO_14,5,slightly agree,1
HEXACO_14,6,agree,1
HEXACO_14,7,strongly agree,1
HEXACO_14,comment,HEXACO-60: I would get a lot of pleasure from owning expensive luxury goods.,1
HEXACO_14,class,avector,1
HEXACO_14,class,numeric,2
HEXACO_15,1,strongly disagree,1
HEXACO_15,2,disagree,1
HEXACO_15,3,slightly disagree,1
HEXACO_15,4,neither agree nor disagree,1
HEXACO_15,5,slightly agree,1
HEXACO_15,6,agree,1
HEXACO_15,7,strongly agree,1
HEXACO_15,comment,HEXACO-60: Most people tend to get angry more quickly than I do.,1
HEXACO_15,class,avector,1
HEXACO_15,class,numeric,2
HEXACO_16,1,strongly disagree,1
HEXACO_16,2,disagree,1
HEXACO_16,3,slightly disagree,1
HEXACO_16,4,neither agree nor disagree,1
HEXACO_16,5,slightly agree,1
HEXACO_16,6,agree,1
HEXACO_16,7,strongly agree,1
HEXACO_16,comment,HEXACO-60: I want people to know that I am an important person of high status.,1
HEXACO_16,class,avector,1
HEXACO_16,class,numeric,2
HEXACO_17,1,strongly disagree,1
HEXACO_17,2,disagree,1
HEXACO_17,3,slightly disagree,1
HEXACO_17,4,neither agree nor disagree,1
HEXACO_17,5,slightly agree,1
HEXACO_17,6,agree,1
HEXACO_17,7,strongly agree,1
HEXACO_17,comment,"HEXACO-60: Even when people make a lot of mistakes, I rarely say anything negative.",1
HEXACO_17,class,avector,1
HEXACO_17,class,numeric,2
HEXACO_18,1,strongly disagree,1
HEXACO_18,2,disagree,1
HEXACO_18,3,slightly disagree,1
HEXACO_18,4,neither agree nor disagree,1
HEXACO_18,5,slightly agree,1
HEXACO_18,6,agree,1
HEXACO_18,7,strongly agree,1
HEXACO_18,comment,HEXACO-60: I wouldn't pretend to like someone just to get that person to do favors for me.,1
HEXACO_18,class,avector,1
HEXACO_18,class,numeric,2
HEXACO_19,1,strongly disagree,1
HEXACO_19,2,disagree,1
HEXACO_19,3,slightly disagree,1
HEXACO_19,4,neither agree nor disagree,1
HEXACO_19,5,slightly agree,1
HEXACO_19,6,agree,1
HEXACO_19,7,strongly agree,1
HEXACO_19,comment,"HEXACO-60: When people tell me that I'm wrong, my first reaction is to argue with them.",1
HEXACO_19,class,avector,1
HEXACO_19,class,numeric,2
HEXACO_20,1,strongly disagree,1
HEXACO_20,2,disagree,1
HEXACO_20,3,slightly disagree,1
HEXACO_20,4,neither agree nor disagree,1
HEXACO_20,5,slightly agree,1
HEXACO_20,6,agree,1
HEXACO_20,7,strongly agree,1
HEXACO_20,comment,"HEXACO-60: I'd be tempted to use counterfeit money, if I were sure I could get away with it.",1
HEXACO_20,class,avector,1
HEXACO_20,class,numeric,2
HEXACO_21,1,strongly disagree,1
HEXACO_21,2,disagree,1
HEXACO_21,3,slightly disagree,1
HEXACO_21,4,neither agree nor disagree,1
HEXACO_21,5,slightly agree,1
HEXACO_21,6,agree,1
HEXACO_21,7,strongly agree,1
HEXACO_21,comment,"HEXACO-60: I plan ahead and organize things, to avoid scrambling at the last minute.",1
HEXACO_21,class,avector,1
HEXACO_21,class,numeric,2
HEXACO_22,1,strongly disagree,1
HEXACO_22,2,disagree,1
HEXACO_22,3,slightly disagree,1
HEXACO_22,4,neither agree nor disagree,1
HEXACO_22,5,slightly agree,1
HEXACO_22,6,agree,1
HEXACO_22,7,strongly agree,1
HEXACO_22,comment,HEXACO-60: I often push myself very hard when trying to achieve a goal.,1
HEXACO_22,class,avector,1
HEXACO_22,class,numeric,2
HEXACO_23,1,strongly disagree,1
HEXACO_23,2,disagree,1
HEXACO_23,3,slightly disagree,1
HEXACO_23,4,neither agree nor disagree,1
HEXACO_23,5,slightly agree,1
HEXACO_23,6,agree,1
HEXACO_23,7,strongly agree,1
HEXACO_23,comment,"HEXACO-60: When working on something, I don't pay much attention to small details.",1
HEXACO_23,class,avector,1
HEXACO_23,class,numeric,2
HEXACO_24,1,strongly disagree,1
HEXACO_24,2,disagree,1
HEXACO_24,3,slightly disagree,1
HEXACO_24,4,neither agree nor disagree,1
HEXACO_24,5,slightly agree,1
HEXACO_24,6,agree,1
HEXACO_24,7,strongly agree,1
HEXACO_24,comment,HEXACO-60: I make decisions based on the feeling of the moment rather than on careful thought.,1
HEXACO_24,class,avector,1
HEXACO_24,class,numeric,2
HEXACO_25,1,strongly disagree,1
HEXACO_25,2,disagree,1
HEXACO_25,3,slightly disagree,1
HEXACO_25,4,neither agree nor disagree,1
HEXACO_25,5,slightly agree,1
HEXACO_25,6,agree,1
HEXACO_25,7,strongly agree,1
HEXACO_25,comment,"HEXACO-60: When working, I sometimes have difficulties due to being disorganized.",1
HEXACO_25,class,avector,1
HEXACO_25,class,numeric,2
HEXACO_26,1,strongly disagree,1
HEXACO_26,2,disagree,1
HEXACO_26,3,slightly disagree,1
HEXACO_26,4,neither agree nor disagree,1
HEXACO_26,5,slightly agree,1
HEXACO_26,6,agree,1
HEXACO_26,7,strongly agree,1
HEXACO_26,comment,HEXACO-60: I do only the minimum amount of work needed to get by.,1
HEXACO_26,class,avector,1
HEXACO_26,class,numeric,2
HEXACO_27,1,strongly disagree,1
HEXACO_27,2,disagree,1
HEXACO_27,3,slightly disagree,1
HEXACO_27,4,neither agree nor disagree,1
HEXACO_27,5,slightly agree,1
HEXACO_27,6,agree,1
HEXACO_27,7,strongly agree,1
HEXACO_27,comment,"HEXACO-60: I always try to be accurate in my work, even at the expense of time.",1
HEXACO_27,class,avector,1
HEXACO_27,class,numeric,2
HEXACO_28,1,strongly disagree,1
HEXACO_28,2,disagree,1
HEXACO_28,3,slightly disagree,1
HEXACO_28,4,neither agree nor disagree,1
HEXACO_28,5,slightly agree,1
HEXACO_28,6,agree,1
HEXACO_28,7,strongly agree,1
HEXACO_28,comment,HEXACO-60: I make a lot of mistakes because I don’t think before I act.,1
HEXACO_28,class,avector,1
HEXACO_28,class,numeric,2
HEXACO_29,1,strongly disagree,1
HEXACO_29,2,disagree,1
HEXACO_29,3,slightly disagree,1
HEXACO_29,4,neither agree nor disagree,1
HEXACO_29,5,slightly agree,1
HEXACO_29,6,agree,1
HEXACO_29,7,strongly agree,1
HEXACO_29,comment,HEXACO-60: People often call me a perfectionist.,1
HEXACO_29,class,avector,1
HEXACO_29,class,numeric,2
HEXACO_30,1,strongly disagree,1
HEXACO_30,2,disagree,1
HEXACO_30,3,slightly disagree,1
HEXACO_30,4,neither agree nor disagree,1
HEXACO_30,5,slightly agree,1
HEXACO_30,6,agree,1
HEXACO_30,7,strongly agree,1
HEXACO_30,comment,"HEXACO-60: I prefer to do whatever comes to mind, rather than stick to a plan.",1
HEXACO_30,class,avector,1
HEXACO_30,class,numeric,2
IFI_02,1,strongly disagree,1
IFI_02,2,disagree,1
IFI_02,3,slightly disagree,1
IFI_02,4,neither agree nor disagree,1
IFI_02,5,slightly agree,1
IFI_02,6,agree,1
IFI_02,7,strongly agree,1
IFI_02,comment,HEXACO-60: I can speak 30 languages fluently.,1
IFI_02,class,avector,1
IFI_02,class,numeric,2
OCIR_01,1,strongly disagree,1
OCIR_01,2,disagree,1
OCIR_01,3,slightly disagree,1
OCIR_01,4,neither agree nor disagree,1
OCIR_01,5,slightly agree,1
OCIR_01,6,agree,1
OCIR_01,7,strongly agree,1
OCIR_01,comment,Obsessive–Compulsive Inventory: I have saved up so many things that they get in the way.,1
OCIR_01,class,avector,1
OCIR_01,class,numeric,2
OCIR_02,1,strongly disagree,1
OCIR_02,2,disagree,1
OCIR_02,3,slightly disagree,1
OCIR_02,4,neither agree nor disagree,1
OCIR_02,5,slightly agree,1
OCIR_02,6,agree,1
OCIR_02,7,strongly agree,1
OCIR_02,comment,Obsessive–Compulsive Inventory: I check things more often than necessary.,1
OCIR_02,class,avector,1
OCIR_02,class,numeric,2
OCIR_03,1,strongly disagree,1
OCIR_03,2,disagree,1
OCIR_03,3,slightly disagree,1
OCIR_03,4,neither agree nor disagree,1
OCIR_03,5,slightly agree,1
OCIR_03,6,agree,1
OCIR_03,7,strongly agree,1
OCIR_03,comment,Obsessive–Compulsive Inventory: I get upset if objects are not arranged properly.,1
OCIR_03,class,avector,1
OCIR_03,class,numeric,2
OCIR_04,1,strongly disagree,1
OCIR_04,2,disagree,1
OCIR_04,3,slightly disagree,1
OCIR_04,4,neither agree nor disagree,1
OCIR_04,5,slightly agree,1
OCIR_04,6,agree,1
OCIR_04,7,strongly agree,1
OCIR_04,comment,Obsessive–Compulsive Inventory: I feel compelled to count while I am doing things.,1
OCIR_04,class,avector,1
OCIR_04,class,numeric,2
OCIR_05,1,strongly disagree,1
OCIR_05,2,disagree,1
OCIR_05,3,slightly disagree,1
OCIR_05,4,neither agree nor disagree,1
OCIR_05,5,slightly agree,1
OCIR_05,6,agree,1
OCIR_05,7,strongly agree,1
OCIR_05,comment,Obsessive–Compulsive Inventory: I find it difficult to touch an object when I know it has been touched by strangers or certain people.,1
OCIR_05,class,avector,1
OCIR_05,class,numeric,2
OCIR_06,1,strongly disagree,1
OCIR_06,2,disagree,1
OCIR_06,3,slightly disagree,1
OCIR_06,4,neither agree nor disagree,1
OCIR_06,5,slightly agree,1
OCIR_06,6,agree,1
OCIR_06,7,strongly agree,1
OCIR_06,comment,Obsessive–Compulsive Inventory: I find it difficult to control my own thoughts.,1
OCIR_06,class,avector,1
OCIR_06,class,numeric,2
OCIR_07,1,strongly disagree,1
OCIR_07,2,disagree,1
OCIR_07,3,slightly disagree,1
OCIR_07,4,neither agree nor disagree,1
OCIR_07,5,slightly agree,1
OCIR_07,6,agree,1
OCIR_07,7,strongly agree,1
OCIR_07,comment,Obsessive–Compulsive Inventory: I collect things I don’t need.,1
OCIR_07,class,avector,1
OCIR_07,class,numeric,2
OCIR_08,1,strongly disagree,1
OCIR_08,2,disagree,1
OCIR_08,3,slightly disagree,1
OCIR_08,4,neither agree nor disagree,1
OCIR_08,5,slightly agree,1
OCIR_08,6,agree,1
OCIR_08,7,strongly agree,1
OCIR_08,comment,"Obsessive–Compulsive Inventory: I repeatedly check doors, windows, drawers, etc.",1
OCIR_08,class,avector,1
OCIR_08,class,numeric,2
OCIR_09,1,strongly disagree,1
OCIR_09,2,disagree,1
OCIR_09,3,slightly disagree,1
OCIR_09,4,neither agree nor disagree,1
OCIR_09,5,slightly agree,1
OCIR_09,6,agree,1
OCIR_09,7,strongly agree,1
OCIR_09,comment,Obsessive–Compulsive Inventory: I get upset if others change the way I have arranged things.,1
OCIR_09,class,avector,1
OCIR_09,class,numeric,2
OCIR_10,1,strongly disagree,1
OCIR_10,2,disagree,1
OCIR_10,3,slightly disagree,1
OCIR_10,4,neither agree nor disagree,1
OCIR_10,5,slightly agree,1
OCIR_10,6,agree,1
OCIR_10,7,strongly agree,1
OCIR_10,comment,Obsessive–Compulsive Inventory: I feel I have to repeat certain numbers.,1
OCIR_10,class,avector,1
OCIR_10,class,numeric,2
OCIR_11,1,strongly disagree,1
OCIR_11,2,disagree,1
OCIR_11,3,slightly disagree,1
OCIR_11,4,neither agree nor disagree,1
OCIR_11,5,slightly agree,1
OCIR_11,6,agree,1
OCIR_11,7,strongly agree,1
OCIR_11,comment,Obsessive–Compulsive Inventory: I sometimes have to wash or clean myself simply because I feel contaminated.,1
OCIR_11,class,avector,1
OCIR_11,class,numeric,2
OCIR_12,1,strongly disagree,1
OCIR_12,2,disagree,1
OCIR_12,3,slightly disagree,1
OCIR_12,4,neither agree nor disagree,1
OCIR_12,5,slightly agree,1
OCIR_12,6,agree,1
OCIR_12,7,strongly agree,1
OCIR_12,comment,Obsessive–Compulsive Inventory: I am upset by unpleasant thoughts that come into my mind against my will.,1
OCIR_12,class,avector,1
OCIR_12,class,numeric,2
OCIR_13,1,strongly disagree,1
OCIR_13,2,disagree,1
OCIR_13,3,slightly disagree,1
OCIR_13,4,neither agree nor disagree,1
OCIR_13,5,slightly agree,1
OCIR_13,6,agree,1
OCIR_13,7,strongly agree,1
OCIR_13,comment,Obsessive–Compulsive Inventory: I avoid throwing things away because I am afraid I might need them later.,1
OCIR_13,class,avector,1
OCIR_13,class,numeric,2
OCIR_14,1,strongly disagree,1
OCIR_14,2,disagree,1
OCIR_14,3,slightly disagree,1
OCIR_14,4,neither agree nor disagree,1
OCIR_14,5,slightly agree,1
OCIR_14,6,agree,1
OCIR_14,7,strongly agree,1
OCIR_14,comment,Obsessive–Compulsive Inventory: I repeatedly check gas and water taps and light switches after turning them off.,1
OCIR_14,class,avector,1
OCIR_14,class,numeric,2
OCIR_15,1,strongly disagree,1
OCIR_15,2,disagree,1
OCIR_15,3,slightly disagree,1
OCIR_15,4,neither agree nor disagree,1
OCIR_15,5,slightly agree,1
OCIR_15,6,agree,1
OCIR_15,7,strongly agree,1
OCIR_15,comment,Obsessive–Compulsive Inventory: I need things to be arranged in a particular order.,1
OCIR_15,class,avector,1
OCIR_15,class,numeric,2
OCIR_16,1,strongly disagree,1
OCIR_16,2,disagree,1
OCIR_16,3,slightly disagree,1
OCIR_16,4,neither agree nor disagree,1
OCIR_16,5,slightly agree,1
OCIR_16,6,agree,1
OCIR_16,7,strongly agree,1
OCIR_16,comment,Obsessive–Compulsive Inventory: I feel that there are good and bad numbers.,1
OCIR_16,class,avector,1
OCIR_16,class,numeric,2
OCIR_17,1,strongly disagree,1
OCIR_17,2,disagree,1
OCIR_17,3,slightly disagree,1
OCIR_17,4,neither agree nor disagree,1
OCIR_17,5,slightly agree,1
OCIR_17,6,agree,1
OCIR_17,7,strongly agree,1
OCIR_17,comment,Obsessive–Compulsive Inventory: I wash my hands more often and longer than necessary.,1
OCIR_17,class,avector,1
OCIR_17,class,numeric,2
OCIR_18,1,strongly disagree,1
OCIR_18,2,disagree,1
OCIR_18,3,slightly disagree,1
OCIR_18,4,neither agree nor disagree,1
OCIR_18,5,slightly agree,1
OCIR_18,6,agree,1
OCIR_18,7,strongly agree,1
OCIR_18,comment,Obsessive–Compulsive Inventory: I frequently get nasty thoughts and have difficulty in getting rid of them.,1
OCIR_18,class,avector,1
OCIR_18,class,numeric,2
PTQ_01,1,strongly disagree,1
PTQ_01,2,disagree,1
PTQ_01,3,slightly disagree,1
PTQ_01,4,neither agree nor disagree,1
PTQ_01,5,slightly agree,1
PTQ_01,6,agree,1
PTQ_01,7,strongly agree,1
PTQ_01,comment,Perseverative Thinking Questionnaire: The same thoughts keep going through my mind again and again.,1
PTQ_01,class,avector,1
PTQ_01,class,numeric,2
PTQ_02,1,strongly disagree,1
PTQ_02,2,disagree,1
PTQ_02,3,slightly disagree,1
PTQ_02,4,neither agree nor disagree,1
PTQ_02,5,slightly agree,1
PTQ_02,6,agree,1
PTQ_02,7,strongly agree,1
PTQ_02,comment,Perseverative Thinking Questionnaire: Thoughts intrude into my mind.,1
PTQ_02,class,avector,1
PTQ_02,class,numeric,2
PTQ_03,1,strongly disagree,1
PTQ_03,2,disagree,1
PTQ_03,3,slightly disagree,1
PTQ_03,4,neither agree nor disagree,1
PTQ_03,5,slightly agree,1
PTQ_03,6,agree,1
PTQ_03,7,strongly agree,1
PTQ_03,comment,Perseverative Thinking Questionnaire: I can’t stop dwelling on negative experiences or problems.,1
PTQ_03,class,avector,1
PTQ_03,class,numeric,2
PTQ_04,1,strongly disagree,1
PTQ_04,2,disagree,1
PTQ_04,3,slightly disagree,1
PTQ_04,4,neither agree nor disagree,1
PTQ_04,5,slightly agree,1
PTQ_04,6,agree,1
PTQ_04,7,strongly agree,1
PTQ_04,comment,Perseverative Thinking Questionnaire: I think about many problems without solving any of them.,1
PTQ_04,class,avector,1
PTQ_04,class,numeric,2
PTQ_05,1,strongly disagree,1
PTQ_05,2,disagree,1
PTQ_05,3,slightly disagree,1
PTQ_05,4,neither agree nor disagree,1
PTQ_05,5,slightly agree,1
PTQ_05,6,agree,1
PTQ_05,7,strongly agree,1
PTQ_05,comment,Perseverative Thinking Questionnaire: I can’t do anything else while thinking about my problems.,1
PTQ_05,class,avector,1
PTQ_05,class,numeric,2
PTQ_06,1,strongly disagree,1
PTQ_06,2,disagree,1
PTQ_06,3,slightly disagree,1
PTQ_06,4,neither agree nor disagree,1
PTQ_06,5,slightly agree,1
PTQ_06,6,agree,1
PTQ_06,7,strongly agree,1
PTQ_06,comment,Perseverative Thinking Questionnaire: My thoughts repeat themselves.,1
PTQ_06,class,avector,1
PTQ_06,class,numeric,2
PTQ_07,1,strongly disagree,1
PTQ_07,2,disagree,1
PTQ_07,3,slightly disagree,1
PTQ_07,4,neither agree nor disagree,1
PTQ_07,5,slightly agree,1
PTQ_07,6,agree,1
PTQ_07,7,strongly agree,1
PTQ_07,comment,Perseverative Thinking Questionnaire: Thoughts come to my mind without me wanting them to.,1
PTQ_07,class,avector,1
PTQ_07,class,numeric,2
PTQ_08,1,strongly disagree,1
PTQ_08,2,disagree,1
PTQ_08,3,slightly disagree,1
PTQ_08,4,neither agree nor disagree,1
PTQ_08,5,slightly agree,1
PTQ_08,6,agree,1
PTQ_08,7,strongly agree,1
PTQ_08,comment,Perseverative Thinking Questionnaire: I get stuck on certain issues and can’t move on.,1
PTQ_08,class,avector,1
PTQ_08,class,numeric,2
PTQ_09,1,strongly disagree,1
PTQ_09,2,disagree,1
PTQ_09,3,slightly disagree,1
PTQ_09,4,neither agree nor disagree,1
PTQ_09,5,slightly agree,1
PTQ_09,6,agree,1
PTQ_09,7,strongly agree,1
PTQ_09,comment,Perseverative Thinking Questionnaire: I keep asking myself questions without finding an answer.,1
PTQ_09,class,avector,1
PTQ_09,class,numeric,2
PTQ_10,1,strongly disagree,1
PTQ_10,2,disagree,1
PTQ_10,3,slightly disagree,1
PTQ_10,4,neither agree nor disagree,1
PTQ_10,5,slightly agree,1
PTQ_10,6,agree,1
PTQ_10,7,strongly agree,1
PTQ_10,comment,Perseverative Thinking Questionnaire: My thoughts prevent me from focusing on other things.,1
PTQ_10,class,avector,1
PTQ_10,class,numeric,2
PTQ_11,1,strongly disagree,1
PTQ_11,2,disagree,1
PTQ_11,3,slightly disagree,1
PTQ_11,4,neither agree nor disagree,1
PTQ_11,5,slightly agree,1
PTQ_11,6,agree,1
PTQ_11,7,strongly agree,1
PTQ_11,comment,Perseverative Thinking Questionnaire: I keep thinking about the same issue all the time.,1
PTQ_11,class,avector,1
PTQ_11,class,numeric,2
PTQ_12,1,strongly disagree,1
PTQ_12,2,disagree,1
PTQ_12,3,slightly disagree,1
PTQ_12,4,neither agree nor disagree,1
PTQ_12,5,slightly agree,1
PTQ_12,6,agree,1
PTQ_12,7,strongly agree,1
PTQ_12,comment,Perseverative Thinking Questionnaire: Thoughts just pop into my mind.,1
PTQ_12,class,avector,1
PTQ_12,class,numeric,2
PTQ_13,1,strongly disagree,1
PTQ_13,2,disagree,1
PTQ_13,3,slightly disagree,1
PTQ_13,4,neither agree nor disagree,1
PTQ_13,5,slightly agree,1
PTQ_13,6,agree,1
PTQ_13,7,strongly agree,1
PTQ_13,comment,Perseverative Thinking Questionnaire: I feel driven to continue dwelling on the same issue.,1
PTQ_13,class,avector,1
PTQ_13,class,numeric,2
PTQ_14,1,strongly disagree,1
PTQ_14,2,disagree,1
PTQ_14,3,slightly disagree,1
PTQ_14,4,neither agree nor disagree,1
PTQ_14,5,slightly agree,1
PTQ_14,6,agree,1
PTQ_14,7,strongly agree,1
PTQ_14,comment,Perseverative Thinking Questionnaire: My thoughts are not much help to me.,1
PTQ_14,class,avector,1
PTQ_14,class,numeric,2
PTQ_15,1,strongly disagree,1
PTQ_15,2,disagree,1
PTQ_15,3,slightly disagree,1
PTQ_15,4,neither agree nor disagree,1
PTQ_15,5,slightly agree,1
PTQ_15,6,agree,1
PTQ_15,7,strongly agree,1
PTQ_15,comment,Perseverative Thinking Questionnaire: My thoughts take up all my attention.,1
PTQ_15,class,avector,1
PTQ_15,class,numeric,2
RAAS_01,1,strongly disagree,1
RAAS_01,2,disagree,1
RAAS_01,3,slightly disagree,1
RAAS_01,4,neither agree nor disagree,1
RAAS_01,5,slightly agree,1
RAAS_01,6,agree,1
RAAS_01,7,strongly agree,1
RAAS_01,comment,Revised Adult Attachment Scale: I find it relatively easy to get close to people.,1
RAAS_01,class,avector,1
RAAS_01,class,numeric,2
RAAS_02,1,strongly disagree,1
RAAS_02,2,disagree,1
RAAS_02,3,slightly disagree,1
RAAS_02,4,neither agree nor disagree,1
RAAS_02,5,slightly agree,1
RAAS_02,6,agree,1
RAAS_02,7,strongly agree,1
RAAS_02,comment,Revised Adult Attachment Scale: I find it difficult to allow myself to depend on others.,1
RAAS_02,class,avector,1
RAAS_02,class,numeric,2
RAAS_05,1,strongly disagree,1
RAAS_05,2,disagree,1
RAAS_05,3,slightly disagree,1
RAAS_05,4,neither agree nor disagree,1
RAAS_05,5,slightly agree,1
RAAS_05,6,agree,1
RAAS_05,7,strongly agree,1
RAAS_05,comment,Revised Adult Attachment Scale: I am comfortable depending on others.,1
RAAS_05,class,avector,1
RAAS_05,class,numeric,2
RAAS_06,1,strongly disagree,1
RAAS_06,2,disagree,1
RAAS_06,3,slightly disagree,1
RAAS_06,4,neither agree nor disagree,1
RAAS_06,5,slightly agree,1
RAAS_06,6,agree,1
